iter	Passed	Remaining
0	65	65186
1	65	32912
2	66	22101
3	67	16711
4	67	13462
5	68	11302
6	68	9751
7	69	8584
8	69	7695
9	70	6976
10	71	6388
11	71	5896
12	72	5482
13	72	5127
14	73	4815
15	73	4545
16	74	4304
17	74	4087
18	75	3894
19	76	3732
20	76	3589
21	77	3454
22	78	3326
23	79	3212
24	79	3106
25	80	3007
26	80	2915
27	81	2828
28	82	2750
29	82	2681
30	83	2613
31	84	2549
32	85	2493
33	85	2436
34	86	2384
35	87	2334
36	87	2285
37	88	2239
38	89	2197
39	89	2158
40	90	2119
41	91	2085
42	92	2049
43	92	2012
44	93	1980
45	94	1951
46	94	1922
47	95	1895
48	96	1870
49	96	1842
50	97	1815
51	98	1790
52	99	1772
53	100	1754
54	100	1732
55	101	1714
56	102	1695
57	103	1674
58	103	1654
59	104	1636
60	105	1618
61	105	1600
62	106	1581
63	106	1564
64	107	1552
65	108	1534
66	109	1519
67	109	1499
68	109	1483
69	110	1468
70	111	1455
71	111	1442
72	112	1429
73	113	1418
74	114	1406
75	114	1394
76	115	1383
77	116	1371
78	116	1360
79	117	1349
80	117	1337
81	118	1326
82	119	1316
83	119	1306
84	120	1294
85	120	1284
86	121	1273
87	122	1264
88	122	1256
89	123	1248
90	124	1239
91	124	1231
92	125	1222
93	126	1215
94	126	1206
95	127	1198
96	127	1191
97	128	1183
98	129	1177
99	130	1172
100	131	1167
101	131	1158
102	132	1151
103	133	1145
104	133	1138
105	134	1131
106	134	1126
107	135	1119
108	136	1113
109	136	1107
110	137	1101
111	138	1096
112	138	1090
113	139	1083
114	139	1077
115	140	1070
116	141	1065
117	141	1060
118	142	1053
119	143	1048
120	143	1043
121	144	1038
122	144	1032
123	145	1027
124	146	1023
125	146	1018
126	147	1014
127	147	1008
128	148	1004
129	149	1000
130	150	996
131	150	992
132	151	989
133	152	983
134	152	979
135	153	975
136	154	972
137	154	967
138	155	963
139	156	959
140	156	955
141	157	951
142	158	948
143	158	943
144	159	939
145	160	936
146	160	932
147	161	928
148	161	925
149	162	921
150	163	918
151	164	915
152	164	911
153	165	907
154	165	904
155	166	901
156	167	898
157	167	894
158	168	891
159	169	888
160	169	885
161	170	882
162	171	879
163	171	875
164	172	872
165	173	869
166	173	866
167	174	863
168	174	860
169	175	857
170	176	854
171	176	851
172	177	848
173	178	845
174	178	843
175	179	840
176	180	837
177	180	834
178	181	831
179	182	829
180	182	825
181	183	822
182	183	820
183	184	817
184	185	815
185	185	812
186	186	810
187	186	807
188	187	804
189	188	802
190	188	799
191	189	797
192	190	794
193	190	792
194	191	790
195	192	788
196	192	785
197	193	783
198	194	780
199	194	778
200	195	776
201	196	774
202	196	771
203	197	769
204	197	767
205	198	764
206	199	762
207	199	760
208	200	758
209	201	756
210	201	754
211	202	752
212	203	751
213	203	749
214	204	747
215	205	745
216	206	743
217	206	741
218	207	739
219	207	736
220	208	734
221	209	732
222	209	730
223	210	728
224	211	727
225	211	724
226	212	723
227	213	721
228	213	719
229	214	716
230	214	714
231	215	713
232	215	710
233	216	708
234	217	707
235	217	705
236	218	703
237	219	702
238	219	700
239	220	698
240	221	697
241	221	695
242	222	693
243	223	691
244	223	689
245	224	687
246	225	686
247	225	684
248	226	682
249	226	680
250	227	679
251	228	677
252	228	675
253	229	674
254	230	672
255	230	670
256	231	669
257	232	668
258	232	666
259	233	664
260	234	662
261	234	661
262	235	659
263	236	658
264	236	657
265	237	655
266	238	653
267	238	652
268	239	650
269	240	649
270	240	647
271	241	646
272	241	644
273	242	642
274	243	641
275	243	639
276	244	638
277	245	636
278	245	634
279	246	633
280	247	632
281	247	630
282	248	629
283	249	627
284	249	626
285	250	624
286	250	623
287	251	622
288	252	620
289	252	619
290	253	617
291	254	616
292	254	615
293	255	613
294	256	612
295	256	610
296	257	609
297	258	608
298	258	606
299	259	605
300	260	603
301	260	602
302	261	601
303	261	599
304	262	598
305	263	597
306	263	595
307	264	594
308	265	592
309	265	591
310	266	590
311	267	588
312	267	587
313	268	586
314	269	584
315	269	583
316	270	582
317	271	581
318	271	579
319	272	578
320	273	577
321	273	576
322	274	574
323	274	573
324	275	572
325	276	571
326	277	570
327	277	568
328	278	567
329	278	566
330	279	564
331	280	563
332	280	562
333	281	561
334	282	560
335	282	559
336	283	557
337	284	556
338	284	555
339	285	554
340	286	553
341	287	552
342	287	550
343	288	549
344	288	548
345	289	547
346	290	545
347	290	544
348	291	543
349	291	541
350	292	540
351	293	539
352	293	538
353	294	537
354	294	535
355	295	534
356	296	533
357	296	532
358	297	530
359	298	529
360	298	528
361	299	527
362	299	526
363	300	524
364	301	523
365	301	522
366	302	521
367	303	520
368	303	519
369	304	518
370	305	517
371	305	516
372	306	515
373	307	513
374	307	512
375	308	511
376	309	510
377	309	509
378	310	508
379	310	507
380	311	506
381	312	505
382	312	504
383	313	503
384	314	501
385	314	500
386	315	499
387	316	498
388	316	497
389	317	496
390	318	495
391	318	494
392	319	493
393	320	492
394	320	491
395	321	490
396	322	489
397	322	488
398	323	487
399	324	486
400	324	485
401	325	484
402	326	483
403	326	481
404	327	480
405	328	479
406	328	478
407	329	477
408	330	476
409	330	475
410	331	474
411	332	473
412	332	472
413	333	471
414	334	470
415	334	469
416	335	468
417	336	467
418	336	466
419	337	465
420	337	464
421	338	463
422	339	462
423	340	461
424	340	460
425	341	459
426	341	458
427	342	457
428	343	456
429	343	455
430	344	454
431	345	453
432	345	452
433	346	451
434	347	450
435	347	449
436	348	448
437	348	447
438	349	446
439	350	445
440	350	444
441	351	443
442	352	442
443	352	441
444	353	440
445	354	439
446	354	438
447	355	437
448	356	436
449	356	435
450	357	434
451	358	434
452	358	433
453	359	432
454	359	430
455	360	429
456	361	429
457	361	428
458	362	427
459	363	426
460	363	425
461	364	424
462	365	423
463	365	422
464	366	421
465	367	421
466	368	420
467	369	419
468	369	418
469	370	417
470	371	416
471	371	415
472	372	414
473	373	414
474	373	413
475	374	412
476	375	411
477	375	410
478	376	409
