iter	Passed	Remaining
0	77	77645
1	78	39268
2	79	26412
3	80	19976
4	81	16133
5	81	13580
6	82	11747
7	83	10369
8	84	9286
9	85	8426
10	85	7725
11	86	7146
12	87	6665
13	88	6231
14	89	5872
15	90	5549
16	91	5270
17	92	5021
18	92	4796
19	93	4590
20	94	4401
21	95	4233
22	96	4085
23	97	3944
24	97	3813
25	98	3702
26	99	3597
27	100	3501
28	102	3415
29	103	3332
30	104	3252
31	105	3176
32	105	3097
33	106	3022
34	107	2962
35	108	2894
36	108	2835
37	109	2776
38	110	2720
39	111	2669
40	112	2620
41	112	2571
42	113	2528
43	114	2486
44	115	2444
45	115	2400
46	116	2361
47	117	2324
48	117	2289
49	118	2255
50	119	2222
51	120	2191
52	121	2162
53	121	2130
54	122	2101
55	123	2074
56	123	2048
57	124	2021
58	125	1994
59	125	1970
60	126	1947
61	127	1925
62	128	1905
63	128	1884
64	129	1863
65	130	1844
66	131	1825
67	131	1808
68	132	1790
69	133	1771
70	134	1756
71	135	1740
72	135	1723
73	136	1707
74	137	1694
75	138	1680
76	138	1665
77	139	1650
78	140	1638
79	141	1625
80	141	1611
81	142	1596
82	143	1580
83	143	1567
84	144	1556
85	145	1544
86	146	1532
87	146	1521
88	147	1511
89	148	1500
90	149	1489
91	149	1477
92	150	1465
93	151	1456
94	151	1445
95	152	1436
96	153	1428
97	154	1419
98	154	1410
99	155	1400
100	156	1390
101	156	1381
102	157	1371
103	158	1361
104	158	1352
105	159	1344
106	160	1336
107	160	1328
108	161	1321
109	162	1313
110	162	1304
111	163	1296
112	164	1290
113	165	1282
114	165	1276
115	166	1270
116	167	1262
117	168	1256
118	168	1250
119	169	1243
120	170	1237
121	170	1230
122	171	1223
123	172	1218
124	173	1213
125	174	1208
126	174	1202
127	175	1195
128	176	1189
129	176	1183
130	177	1177
131	178	1171
132	179	1166
133	179	1162
134	180	1157
135	181	1152
136	182	1147
137	183	1143
138	183	1138
139	184	1133
140	185	1128
141	185	1122
142	186	1118
143	187	1113
144	188	1109
145	188	1104
146	189	1100
147	190	1096
148	191	1092
149	191	1087
150	192	1084
151	193	1079
152	194	1075
153	194	1070
154	195	1066
155	196	1063
156	197	1059
157	198	1055
158	198	1052
159	199	1048
160	200	1043
161	200	1039
162	201	1035
163	202	1031
164	203	1028
165	203	1024
166	204	1020
167	205	1017
168	206	1014
169	207	1011
170	207	1007
171	208	1003
172	209	999
173	209	996
174	210	992
175	211	988
176	212	986
177	212	982
178	213	979
179	214	976
180	215	973
181	215	969
182	216	966
183	217	963
184	217	960
185	218	957
